epoch,loss,MAE,F-beta
001,1.710,0.044,0.862
002,1.702,0.044,0.860
003,1.715,0.045,0.860
004,1.703,0.046,0.859
005,1.706,0.045,0.860
006,1.700,0.045,0.860
007,1.709,0.044,0.863
008,1.698,0.044,0.862
009,1.702,0.045,0.859
010,1.705,0.045,0.861
011,1.704,0.045,0.862
012,1.698,0.045,0.861
013,1.703,0.044,0.862
014,1.698,0.044,0.862
015,1.695,0.045,0.862
016,1.698,0.044,0.861
017,1.698,0.044,0.862
018,1.702,0.045,0.862
019,1.702,0.045,0.861
020,1.700,0.044,0.862
021,1.693,0.044,0.863
022,1.698,0.045,0.862
023,1.694,0.044,0.862
024,1.693,0.044,0.863
025,1.694,0.044,0.862
026,1.700,0.044,0.863
027,1.687,0.044,0.863
028,1.696,0.044,0.863
029,1.690,0.044,0.863
030,1.693,0.044,0.863
